Airport Name,Aircraft Make Model,Effect Amount of damage,Flight Date,Aircraft Airline Operator,Origin State,Phase of flight,Wildlife Size,Wildlife Species,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1994-05-07,AMERICAN AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
KANSAS CITY INTL,B-737-300,Minor,1994-05-08,SOUTHWEST AIRLINES,Missouri,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
EPPLEY AIRFIELD,MD-80,None,1994-05-09,AMERICAN AIRLINES,Nebraska,Climb,Medium,Unknown bird - medium,Dawn,0,0,0,150
NEWARK LIBERTY INTL ARPT,B-737-300,None,1994-05-09,US AIRWAYS*,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,180
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1994-05-09,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,130
HOUSTON-HOBBY,B-737-300,None,1994-05-09,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,250
TETERBORO AIRPORT,LEARJET-55,Minor,1994-05-10,BUSINESS,New Jersey,Climb,Medium,Unknown bird - medium,Day,0,14331,14331,180
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1994-05-10,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,150
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1994-05-10,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,135
WASHINGTON DULLES INTL ARPT,BA-41 JETSTR,None,1994-05-11,ATLANTIC COAST AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,150
SEATTLE-TACOMA INTL,MD-80,None,1994-05-11,ALASKA AIRLINES,Washington,Approach,Medium,Unknown bird - medium,Night,0,0,0,205
PORT COLUMBUS INTL,DC-9,None,1994-05-11,TRANS WORLD AIRLINES,Ohio,Descent,Medium,Unknown bird - medium,Night,0,0,0,200
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1994-05-11,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,134
DALLAS/FORT WORTH INTL ARPT,B-757-200,None,1994-05-11,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,180
SACRAMENTO INTL,B-737,None,1994-05-11,SOUTHWEST AIRLINES,California,Take-off run,Small,Mourning dove,Night,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-83,None,1994-05-12,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,210
DALLAS/FORT WORTH INTL ARPT,B-727,None,1994-05-12,AMERICAN AIRLINES,Texas,Descent,Medium,Mallard,Dusk,0,0,0,250
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1994-05-12,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,160
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1994-05-12,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,240
PHILADELPHIA INTL,FOKKER F100,None,1994-05-14,AMERICAN AIRLINES,Pennsylvania,Climb,Medium,Unknown bird - medium,Night,0,0,0,180
PHILADELPHIA INTL,FOKKER F100,None,1994-05-15,AMERICAN AIRLINES,Pennsylvania,Climb,Medium,Unknown bird - medium,Day,0,0,0,180
NEWARK LIBERTY INTL ARPT,GULFSTRM II,None,1994-05-15,BUSINESS,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,
LOS ANGELES INTL,BA-31 JETSTR,None,1994-05-15,TRANS STATES AIRLINES,California,Landing Roll,Small,Rock pigeon,Day,0,0,0,90
LAGUARDIA NY,DC-9-30,None,1994-05-15,AIR CANADA,New York,Landing Roll,Small,Unknown bird - small,Day,0,0,0,130
NEWARK LIBERTY INTL ARPT,B-757-200,None,1994-05-15,AMERICAN AIRLINES,New Jersey,Take-off run,Small,Unknown bird - small,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,MD-83,None,1994-05-16,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,170
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1994-05-17,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,180
KANSAS CITY INTL,DC-9-40,None,1994-05-17,ABX AIR,Missouri,Climb,Medium,Unknown bird - medium,Night,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1994-05-17,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Dawn,0,0,0,190
DALLAS/FORT WORTH INTL ARPT,MD-82,None,1994-05-18,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,140
SAN FRANCISCO INTL ARPT,B-737-300,None,1994-05-18,US AIRWAYS*,California,Approach,Small,Rock pigeon,Day,0,0,0,120
ATLANTIC CITY INTL,F-16,C,1994-05-19,MILITARY,New Jersey,Approach,Medium,Unknown bird - medium,Day,0,20439,20439,180
ATLANTIC CITY INTL,F-16,None,1994-05-19,MILITARY,New Jersey,Climb,Medium,Unknown bird or bat,Day,0,0,0,210
CHICAGO MIDWAY INTL ARPT,B-737-300,None,1994-05-19,SOUTHWEST AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,210
DALLAS/FORT WORTH INTL ARPT,B-757-200,None,1994-05-19,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,140
NASHVILLE INTL,MD-80,None,1994-05-19,AMERICAN AIRLINES,Tennessee,Take-off run,Small,Unknown bird - small,Dusk,0,0,0,125
CHARLOTTE/DOUGLAS INTL ARPT,DC-9,None,1994-05-20,US AIRWAYS*,North Carolina,Approach,Small,European starling,Day,0,0,0,135
SALT LAKE CITY INTL,B-757-200,None,1994-05-21,DELTA AIR LINES,Utah,Approach,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-11,None,1994-05-22,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,180
CHICAGO O'HARE INTL ARPT,B-737-300,None,1994-05-22,UNITED AIRLINES,Illinois,Take-off run,Medium,Mallard,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1994-05-23,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,131
SAN FRANCISCO INTL ARPT,MD-80,None,1994-05-23,AMERICAN AIRLINES,California,Descent,Medium,Unknown bird - medium,Night,0,0,0,260
ORLANDO INTL,BA-31 JETSTR,None,1994-05-24,ATLANTIC COAST AIRLINES,Florida,Climb,Large,Turkey vulture,Day,0,0,0,170
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1994-05-25,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,B-767,None,1994-05-25,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
AUSTIN-BERGSTROM INTL,B-737-500,None,1994-05-25,SOUTHWEST AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
SEATTLE-TACOMA INTL,B-767-200,None,1994-05-26,TRANS WORLD AIRLINES,Washington,Approach,Small,Unknown bird - small,Night,0,0,0,131
WASHINGTON DULLES INTL ARPT,B-737,None,1994-05-27,UNITED AIRLINES,DC,Approach,Medium,Unknown bird - medium,Day,0,0,0,160
CHARLOTTE/DOUGLAS INTL ARPT,DC-9-10,None,1994-05-28,TRANS WORLD AIRLINES,North Carolina,Climb,Medium,Unknown bird - medium,Day,0,0,0,145
CHICAGO O'HARE INTL ARPT,B-727-200,None,1994-05-28,AMERICAN AIRLINES,Illinois,Take-off run,Medium,Mallard,Day,0,0,0,135
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,1994-05-28,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140
MINETA SAN JOSE INTL,MD-80,None,1994-05-28,AMERICAN AIRLINES,California,Climb,Small,Unknown bird - small,Day,0,0,0,165
METRO OAKLAND INTL,B-737-300,None,1994-05-30,SOUTHWEST AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,140
PHOENIX SKY HARBOR,B-737-300,None,1994-05-31,SOUTHWEST AIRLINES,Arizona,Approach,Small,Unknown bird - small,Day,0,0,0,140
GEORGE BUSH INTERCONTINENTAL,B-737,None,1994-06-01,CONTINENTAL AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,None,1994-06-01,ATLANTIC COAST AIRLINES,DC,Climb,Medium,Unknown bird - medium,Night,0,0,0,160
LOS ANGELES INTL,B-737,None,1994-06-04,BUSINESS,California,Approach,Small,American robin,Day,0,0,0,135
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1994-06-04,AMERICAN AIRLINES,Texas,Approach,Small,Rock pigeon,Day,0,0,0,135
NASHVILLE INTL,B-737-500,None,1994-06-05,SOUTHWEST AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,140
SALT LAKE CITY INTL,EMB-120,None,1994-06-05,SKYWEST AIRLINES,Utah,Landing Roll,Small,Barn owl,Night,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,B-737-400,Substantial,1994-06-07,US AIRWAYS*,North Carolina,Climb,Large,Unknown bird - large,Night,0,0,0,160
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,None,1994-06-07,ATLANTIC COAST AIRLINES,DC,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,
SAN ANTONIO INTL,MD-88,None,1994-06-08,DELTA AIR LINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,125
GEORGE BUSH INTERCONTINENTAL,MD-80,None,1994-06-09,CONTINENTAL AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
SALT LAKE CITY INTL,B-727,None,1994-06-10,DELTA AIR LINES,Utah,Approach,Medium,Unknown bird - medium,Day,0,0,0,
NEW ORLEANS INTL,B-737,None,1994-06-11,CONTINENTAL AIRLINES,Louisiana,Take-off run,Small,European starling,Dusk,0,0,0,
LIHUE ARPT,KC-135E,None,1994-06-12,MILITARY,Hawaii,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,140
ATLANTA INTL,MD-80,None,1994-06-12,AMERICAN AIRLINES,Georgia,Approach,Medium,Unknown bird - medium,Night,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1994-06-13,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,140
PHILADELPHIA INTL,MD-80,None,1994-06-14,AMERICAN AIRLINES,Pennsylvania,Climb,Medium,Unknown bird - medium,Day,0,0,0,160
HOUSTON-HOBBY,B-737-200,None,1994-06-14,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,220
PHILADELPHIA INTL,MD-80,None,1994-06-15,AMERICAN AIRLINES,Pennsylvania,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
LOUISVILLE INTL ARPT,B-737-400,None,1994-06-15,US AIRWAYS*,Kentucky,Climb,Small,European starling,Dawn,0,0,0,135
NEW ORLEANS INTL,B-737-200,None,1994-06-16,AMERICAN AIRLINES,Louisiana,Climb,Small,Unknown bird - small,Day,0,0,0,155
HOUSTON-HOBBY,B-737-500,None,1994-06-16,SOUTHWEST AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,130
CHARLOTTE/DOUGLAS INTL ARPT,DC-9,None,1994-06-17,US AIRWAYS*,North Carolina,Approach,Small,Rock pigeon,Day,0,0,0,129
NEW ORLEANS INTL,B-737-200,None,1994-06-18,US AIRWAYS*,Louisiana,Approach,Small,Rock pigeon,Day,0,0,0,130
NASHVILLE INTL,MD-80,None,1994-06-19,AMERICAN AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Day,0,0,0,140
CHARLESTON AFB/INTL ARPT,B-737-300,None,1994-06-19,US AIRWAYS*,South Carolina,Landing Roll,Small,Unknown bird - small,Day,0,0,0,100
DALLAS/FORT WORTH INTL ARPT,B-727,None,1994-06-19,AMERICAN AIRLINES,Texas,Landing Roll,Small,Mourning dove,Day,0,0,0,100
PHILADELPHIA INTL,SHORTS 360,None,1994-06-20,US AIRWAYS*,Pennsylvania,Landing Roll,Small,Rock pigeon,Day,0,0,0,100
NASHVILLE INTL,B-727,None,1994-06-21,AMERICAN AIRLINES,Tennessee,Approach,Medium,Unknown bird - medium,Night,0,0,0,145
HOUSTON-HOBBY,B-737-200,None,1994-06-21,SOUTHWEST AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,145
CHARLOTTE/DOUGLAS INTL ARPT,B-737,None,1994-06-25,US AIRWAYS*,North Carolina,Approach,Medium,Unknown bird - medium,Day,0,0,0,130
LOUISVILLE INTL ARPT,B-727,None,1994-06-25,UPS AIRLINES,Kentucky,Climb,Small,Unknown bird - small,Dawn,0,0,0,145
PHILADELPHIA INTL,B-737,None,1994-06-26,UNITED AIRLINES,Pennsylvania,Approach,Large,Canada goose,Night,0,0,0,140
SALT LAKE CITY INTL,B-737,None,1994-06-26,UNITED AIRLINES,Utah,Take-off run,Medium,Unknown bird - medium,Dawn,0,0,0,
HOUSTON-HOBBY,B-737-200,None,1994-06-27,SOUTHWEST AIRLINES,Texas,Take-off run,Small,Eastern meadowlark,Day,0,0,0,110
LOUISVILLE INTL ARPT,B-737,None,1994-06-28,UNITED AIRLINES,Kentucky,Climb,Small,European starling,Day,0,0,0,160
CLEVELAND-HOPKINS INTL ARPT,B-737,None,1994-06-28,US AIRWAYS*,Ohio,Take-off run,Small,Unknown bird - small,Day,0,0,0,
LOUISVILLE INTL ARPT,MD-88,None,1994-06-30,DELTA AIR LINES,Kentucky,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
NEW ORLEANS INTL,MD-80,None,1994-06-30,AMERICAN AIRLINES,Louisiana,Approach,Small,European starling,Day,0,0,0,130
WASHINGTON DULLES INTL ARPT,LEARJET-55,None,1994-06-30,BUSINESS,DC,Take-off run,Small,Unknown bird - small,Day,0,0,0,320
DALLAS/FORT WORTH INTL ARPT,B-727,None,1994-07-01,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,250
CHICAGO O'HARE INTL ARPT,B-757-200,None,1994-07-01,UNITED AIRLINES,Illinois,Climb,Small,Mourning dove,Day,0,0,0,150
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,FOKKER F100,None,1994-07-01,AMERICAN AIRLINES,Kentucky,Climb,Small,Unknown bird - small,Day,0,0,0,
NEWARK LIBERTY INTL ARPT,B-727,None,1994-07-03,CONTINENTAL AIRLINES,New Jersey,Approach,Small,Rock pigeon,Day,0,0,0,150
CHICAGO O'HARE INTL ARPT,B-767,None,1994-07-03,UNITED AIRLINES,Illinois,Take-off run,Small,European starling,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1994-07-04,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
CLEVELAND-HOPKINS INTL ARPT,MD-80,None,1994-07-04,AMERICAN AIRLINES,Ohio,Climb,Small,Unknown bird - small,Day,0,0,0,150
CHICAGO O'HARE INTL ARPT,FOKKER F100,None,1994-07-04,AMERICAN AIRLINES,Illinois,Take-off run,Small,Horned lark,Day,0,0,0,
LOUISVILLE INTL ARPT,DC-9,None,1994-07-05,US AIRWAYS*,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,
TETERBORO AIRPORT,SA226 TC,None,1994-07-05,BUSINESS,New Jersey,Take-off run,Small,Cliff swallow,Day,0,0,0,
LOUISVILLE INTL ARPT,DC-8-70,None,1994-07-06,UPS AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,MD-88,None,1994-07-06,DELTA AIR LINES,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,
AUSTIN-BERGSTROM INTL,B-737-200,None,1994-07-07,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,300
MINETA SAN JOSE INTL,MD-80,None,1994-07-08,AMERICAN AIRLINES,California,Take-off run,Small,Unknown bird - small,Day,0,0,0,110
CHARLOTTE/DOUGLAS INTL ARPT,B-737-200,None,1994-07-09,US AIRWAYS*,North Carolina,Climb,Medium,Unknown bird - medium,Day,0,0,0,175
NEW ORLEANS INTL,B-727-200,Medium,1994-07-12,CONTINENTAL AIRLINES,Louisiana,Climb,Small,Laughing gull,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,B-727,None,1994-07-14,UNITED AIRLINES,Illinois,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,100
CLEVELAND-HOPKINS INTL ARPT,MD-80,None,1994-07-14,AMERICAN AIRLINES,Ohio,Approach,Small,Unknown bird - small,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,B-727,None,1994-07-15,UNITED AIRLINES,Illinois,Approach,Large,Canada goose,Day,0,0,0,150
MINETA SAN JOSE INTL,C-310,None,1994-07-15,BUSINESS,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,
WASHINGTON DULLES INTL ARPT,B-757-200,None,1994-07-15,UNITED AIRLINES,DC,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,DC-9-30,None,1994-07-15,US AIRWAYS*,North Carolina,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,DC-9,None,1994-07-15,US AIRWAYS*,North Carolina,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140
CHARLESTON AFB/INTL ARPT,C-17A,None,1994-07-15,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,
EPPLEY AIRFIELD,B-737,None,1994-07-15,AMERICA WEST AIRLINES,Nebraska,Descent,Medium,Unknown bird - medium,Night,0,0,0,200
CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,None,1994-07-15,US AIRWAYS*,North Carolina,Climb,Small,Unknown bird - small,Day,0,0,0,150
LOUISVILLE INTL ARPT,DC-9-30,None,1994-07-16,US AIRWAYS*,Kentucky,Landing Roll,Small,Unknown bird - small,Day,0,0,0,130
CHICAGO O'HARE INTL ARPT,MD-80,None,1994-07-16,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Dusk,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,A-10A,None,1994-07-17,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,155
HOUSTON-HOBBY,B-737-300,None,1994-07-17,SOUTHWEST AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,145
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1994-07-18,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,150
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1994-07-18,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,148
BALTIMORE WASH INTL,B-737-500,None,1994-07-18,SOUTHWEST AIRLINES,Maryland,Approach,Medium,Unknown bird - medium,Night,0,0,0,135
LAMBERT-ST LOUIS INTL,L-1011,None,1994-07-18,TRANS WORLD AIRLINES,Missouri,Climb,Small,Unknown bird - small,Day,0,0,0,125
LOS ANGELES INTL,B-737-400,None,1994-07-18,US AIRWAYS*,California,Approach,Small,Unknown bird - small,Dusk,0,0,0,150
CHARLESTON AFB/INTL ARPT,C-141B,None,1994-07-19,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,114
ATLANTIC CITY INTL,SHORTS 360,None,1994-07-19,ALLEGHENYAIRLINES,New Jersey,Landing Roll,Small,Barn swallow,Day,0,0,0,80
ATLANTIC CITY INTL,BELL-212,None,1994-07-19,GOVERNMENT,New Jersey,Parked,Small,Rock pigeon,Day,0,0,0,0
WILL ROGERS WORLD ARPT,B-737-300,Substantial,1994-07-20,SOUTHWEST AIRLINES,Oklahoma,Take-off run,Small,Mourning dove,Day,0,0,0,140
EPPLEY AIRFIELD,B-737-200,None,1994-07-20,UNITED AIRLINES,Nebraska,Approach,Small,European starling,Day,0,0,0,125
PHILADELPHIA INTL,SHORTS 360,None,1994-07-21,ALLEGHENYAIRLINES,Pennsylvania,Descent,Medium,Unknown bird - medium,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1994-07-21,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,180
SALT LAKE CITY INTL,B-767,None,1994-07-22,DELTA AIR LINES,Utah,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
GREATER PITTSBURGH,B-737-300,None,1994-07-22,US AIRWAYS*,Pennsylvania,Take-off run,Small,Unknown bird - small,Day,0,0,0,175
HOUSTON-HOBBY,B-737-300,None,1994-07-22,SOUTHWEST AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,135
ATLANTIC CITY INTL,DC-9-30,None,1994-07-23,SPIRIT AIRLINES,New Jersey,Landing Roll,Small,Killdeer,Night,0,0,0,
LOUISVILLE INTL ARPT,SAAB-340,None,1994-07-24,AMERICAN EAGLE AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,130
CHICAGO O'HARE INTL ARPT,B-727,None,1994-07-25,AMERICAN AIRLINES,Illinois,Take-off run,Small,Killdeer,Day,0,0,0,
PHILADELPHIA INTL,DC-9,None,1994-07-26,US AIRWAYS*,Pennsylvania,Landing Roll,Large,Canada goose,Dusk,0,0,0,140
MINNEAPOLIS-ST PAUL INTL,DC-9-30,None,1994-07-26,TRANS WORLD AIRLINES,Minnesota,Descent,Medium,Unknown bird - medium,Day,0,0,0,250
GREATER PITTSBURGH,B-737-300,None,1994-07-26,US AIRWAYS*,Pennsylvania,Climb,Small,Unknown bird - small,Day,0,0,0,160
GREATER PITTSBURGH,DC-9-30,None,1994-07-26,US AIRWAYS*,Pennsylvania,Landing Roll,Small,Unknown bird - small,Day,0,0,0,90
CHARLESTON AFB/INTL ARPT,C-141B,None,1994-07-27,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Dawn,0,0,0,116
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,1994-07-27,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,148
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1994-07-27,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,290
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,1994-07-27,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,1994-07-27,MILITARY,Louisiana,Approach,Small,Barn swallow,Day,0,0,0,145
LAMBERT-ST LOUIS INTL,B-727,None,1994-07-27,TRANS WORLD AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,144
DALLAS/FORT WORTH INTL ARPT,SAAB-340,None,1994-07-28,AMERICAN EAGLE AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
PORTLAND INTL (OR),A-320,None,1994-07-28,NORTHWEST AIRLINES,Oregon,Approach,Medium,Unknown bird - medium,Night,0,0,0,
HOUSTON-HOBBY,B-737-200,None,1994-07-28,SOUTHWEST AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,200
CHICAGO O'HARE INTL ARPT,DC-10-10,None,1994-07-29,AMERICAN AIRLINES,Illinois,Approach,Large,Unknown bird - large,Day,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1994-07-29,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,170
DALLAS/FORT WORTH INTL ARPT,SAAB-340,None,1994-07-29,AMERICAN EAGLE AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
CHICAGO MIDWAY INTL ARPT,B-737-200,None,1994-07-29,SOUTHWEST AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,
GREATER PITTSBURGH,FOKKER F100,None,1994-07-29,US AIRWAYS*,Pennsylvania,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
GREATER PITTSBURGH,DC-9,None,1994-07-30,US AIRWAYS*,Pennsylvania,Landing Roll,Small,Unknown bird - small,Day,0,0,0,120
WASHINGTON DULLES INTL ARPT,B-757-200,None,1994-07-31,UNITED AIRLINES,DC,Climb,Medium,Unknown bird - medium,Day,0,0,0,170
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DC-9-30,None,1994-07-31,ABX AIR,Kentucky,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
EPPLEY AIRFIELD,FOKKER F100,None,1994-08-01,AMERICAN AIRLINES,Nebraska,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,130
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1994-08-01,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,132
MINETA SAN JOSE INTL,MD-80,None,1994-08-01,AMERICAN AIRLINES,California,Take-off run,Small,Unknown bird - small,Day,0,0,0,
NEW ORLEANS INTL,EMB-120,None,1994-08-01,EXPRESSJET (CONTINENTAL EXPRS),Louisiana,Take-off run,Small,Rock pigeon,Day,0,0,0,
CHICAGO MIDWAY INTL ARPT,BA-31 JETSTR,None,1994-08-02,UNKNOWN,Illinois,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
NASHVILLE INTL,B-737,None,1994-08-02,SOUTHWEST AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Day,0,0,0,140
CHICAGO O'HARE INTL ARPT,B-757-200,Substantial,1994-08-03,UNITED AIRLINES,Illinois,Take-off run,Large,Canada goose,Dusk,1565354,0,1565354,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1994-08-03,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1994-08-03,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,120
ATLANTA INTL,MD-88,None,1994-08-03,DELTA AIR LINES,Georgia,Approach,Small,Unknown bird - small,Day,0,0,0,135
GREATER PITTSBURGH,FOKKER F100,None,1994-08-03,US AIRWAYS*,Pennsylvania,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,B-737,None,1994-08-04,UNITED AIRLINES,Illinois,Take-off run,Large,Canada goose,Day,0,0,0,141
CLEVELAND-HOPKINS INTL ARPT,DHC8 DASH 8,None,1994-08-04,CHAUTAUQUA AIRLINES,Ohio,Landing Roll,Small,Unknown bird - small,Dawn,0,0,0,
NASHVILLE INTL,BA-31 JETSTR,None,1994-08-04,AMERICAN EAGLE AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Day,0,0,0,190
KANSAS CITY INTL,B-737-300,None,1994-08-04,DELTA AIR LINES,Missouri,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
LOUISVILLE INTL ARPT,B-737-200,None,1994-08-04,SOUTHWEST AIRLINES,Kentucky,Take-off run,Small,American robin,Day,0,0,0,120
LAMBERT-ST LOUIS INTL,B-737-200,None,1994-08-05,SOUTHWEST AIRLINES,Missouri,Approach,Medium,Unknown bird - medium,Day,0,0,0,250
